"keyword","keywordType","category","subcategory","traffic","categoryRank","searchVolumeGrowthWOW","searchVolumeGrowthVsTrailing4WeekAvg","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"seeds mix roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","860","20.11","16.70","B082SWR3GS","B07WSCRMXT","14.89","21.76","21.11","0.00","3.85","0.00","7days"
"healthy seeds mix for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1236","18.84","40.07","B07WNDTP29","B09WHVN3TW","0.28","0.50","0.41","0.00","11.04","0.00","7days"
"amond","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","670","17.58","4.51","B01LY6B08A","B084884GKX","19.55","27.56","26.76","18.39","3.33","0.00","7days"
"nuts and berries mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1257","17.33","29.05","B01LZH58GI","B08JTBYKDW","8.76","29.11","27.27","35.58","20.33","0.00","7days"
"halim seeds organic for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","374","16.60","29.76","B075454BJF","B099WCGLG3","2.94","2.79","2.34","0.00","0.30","0.00","7days"
"pumpkin and sunflower seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1105","14.94","17.40","B08VRVP5SS","B08YN7RTJK","2.18","1.12","2.19","12.67","11.30","0.00","7days"
"hemp seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","646","14.91","6.42","B075454BJF","B09F66X58Y","2.95","1.04","1.17","0.00","1.38","0.00","7days"
"hemp hearts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","977","14.19","0.86","B09RSQH1Y6","B0851L15DR","2.87","1.01","1.14","0.00","2.11","0.00","7days"
"edible seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","570","13.58","24.37","B094ZDM9TC","B01M6ZAIXL","1.46","0.91","3.35","0.00","1.65","0.00","7days"
"seeds for eating combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1027","13.39","22.45","B099YG1FMB","B08WJ8FZ6D","2.14","0.26","0.57","0.00","1.75","0.00","7days"
"sun flower seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","817","12.47","-5.77","B01MAZ37UC","B07GR2G67L","0.50","0.00","0.00","0.00","3.98","0.00","7days"
"mixed seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","157","11.96","14.29","B0851L15DR","B09RSQH1Y6","1.12","0.55","0.76","0.00","10.61","0.00","7days"
"seeds mix for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","263","11.03","21.05","B0851L15DR","B09RSQH1Y6","1.01","1.47","1.70","1.26","5.94","0.00","7days"
"fig fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","846","10.57","27.02","B08H2FHXQN","B0758D65V3","10.73","13.58","12.16","29.02","1.67","0.00","7days"
"hemp seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","180","10.24","6.46","B07GQW1HJC","B01M6ZAIXL","0.22","0.71","0.64","0.00","1.61","0.00","7days"
"sunflower seeds 100gm","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","719","10.12","1.85","B07GR6G24J","B07GQNLN8S","2.48","0.00","0.00","0.00","2.22","0.00","7days"
"char magaz seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1285","9.80","27.24","B07Q397SM5","B07Q397SM5","0.04","0.00","0.27","0.00","8.05","0.00","7days"
"anzeer","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","607","8.18","19.45","B09TJMP82G","B0758D65V3","8.56","13.96","11.49","21.00","5.21","0.00","7days"
"garden cress seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","981","7.03","21.04","B099WCGLG3","B099WCGLG3","3.18","2.59","2.16","0.00","0.26","0.00","7days"
"trail mix nuts and seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","487","6.74","10.17","B09P9Y4XRD","B08JTBYKDW","0.96","12.08","10.85","40.44","9.50","0.00","7days"
"flax seeds roasted","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","415","6.62","0.49","B07BSHM94V","B0B42L6X6Y","4.28","0.00","0.00","0.00","0.00","0.00","7days"
"anjura","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1551","6.44","28.61","B0758D65V3","B09TJMP82G","13.30","4.99","4.08","0.00","28.83","0.00","7days"
"chironji seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","282","6.10","17.50","B0896W9GQJ","B07X26MCD6","0.93","0.76","0.65","0.00","4.50","0.00","7days"
"mix seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","995","5.84","0.20","B0851L15DR","B09RSQH1Y6","1.51","2.04","1.81","0.00","6.76","0.00","7days"
"watermelon seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","80","5.15","10.02","B01MEHGSRK","B0912BY6MG","0.90","1.19","1.14","0.00","3.81","0.00","7days"
"angir","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1605","5.14","-0.86","B08V6VXB7T","B09TJMP82G","10.33","5.28","4.31","0.00","4.99","0.00","7days"
"mix seeds for weight loss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","246","4.77","-2.76","B077TTB3FX","B09RSQH1Y6","0.25","0.42","0.70","7.42","7.88","0.00","7days"
"nut powder","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","974","4.61","24.35","B081N3L7X9","B081N3L7X9","1.13","3.91","3.39","0.00","3.53","0.00","7days"
"happilo nutmix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1452","4.54","10.59","B01LY6B085","B01LY6B085","73.18","82.35","79.41","42.54","59.93","0.00","7days"
"dry seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","955","4.16","12.82","B07ZMFZ935","B09SQ13CRY","3.58","5.06","6.36","0.00","5.10","0.00","7days"
"seed mix","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","187","4.08","-1.77","B0851L15DR","B09RSQH1Y6","0.84","1.82","2.14","0.00","9.00","0.00","7days"
"baadaam","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","387","4.05","15.34","B0992KMQYL","B084884GKX","19.42","22.47","19.83","20.51","3.57","0.00","7days"
"seeds combo","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","445","3.90","10.95","B094ZDM9TC","B01F8UA1AA","1.11","0.34","0.85","0.00","1.60","0.00","7days"
"organic pumpkin seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","691","3.52","5.95","B07R55QNXB","B0B3T42341","7.02","1.29","1.62","0.00","31.40","0.00","7days"
"haleem seed","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","227","2.88","14.02","B099WCGLG3","B099WCGLG3","0.01","0.03","0.02","0.00","0.17","0.00","7days"
"roasted chia seeds","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1165","2.79","9.67","B08Y92YJ1P","B01M6ZAIXL","4.09","0.00","0.46","0.00","1.49","0.00","7days"
"pecan nuts","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","174","1.62","-7.39","B01IFBP0P0","B01IFBP0P0","14.87","0.12","0.17","0.00","16.85","0.00","7days"
"seed mix for weight loss","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","951","1.57","-22.41","B077TTB3FX","B09RSQH1Y6","0.08","0.27","1.15","0.00","11.89","0.00","7days"
"watermelon seeds 1kg","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1009","1.35","23.14","B084MMYVGW","B08NK7N54W","7.57","0.00","0.00","0.00","3.87","0.00","7days"
"snakes","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1223","1.07","-3.42","B0B6G8JJFG","B08MTK6BC4","6.44","0.00","0.00","0.00","0.00","0.00","7days"
"panchmeva dry fruits","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","1536","0.86","20.81","B09MM96YC4","B0BBK2NWMS","27.34","8.65","10.68","0.00","17.06","0.00","7days"
"mix seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","1K-5K","214","0.57","12.52","B0851L15DR","B082SWR3GS","0.29","0.46","0.80","0.00","8.01","0.00","7days"
"seeds for eating","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","10K-50K","39","0.50","0.43","B0851L15DR","B09RSQH1Y6","0.86","0.40","0.55","0.00","4.53","0.00","7days"
"edible seeds combo pack","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","971","0.47","19.73","B094ZDM9TC","B01F8UA1AA","0.20","3.78","2.88","0.00","0.59","0.00","7days"
"hapillio dry fruits","BRANDED","Grocery-Dried Fruits, Nuts & Seeds","Mixed Nuts","100-1K","629","18.57","24.86","B01LZ5DFW2","B01LZ5DFW2","79.89","39.77","49.10","73.49","57.50","8.76","7days"
